,hmid,Root_Object_Phrase,Pronoun,wid,reflection_period,predicted_category,age,country,gender,marital,parenthood
43,27737,cooked - breakfast,I,57,24h,affection,34,USA,m,single,n
44,27739,got - it,I,2646,24h,affection,41,IND,m,married,y
45,27741,took - dog,I,3797,24h,affection,56,USA,m,divorced,y
46,27745,lost - kgs,I,1020,24h,achievement,37.0,IND,m,married,y
47,27747,told - me,,1782,24h,affection,33,USA,m,single,n
48,27749,took - girlfriend,I,589,24h,affection,30.0,USA,m,single,n
49,27751,did - taxes,I,524,24h,achievement,42.0,USA,m,married,y
50,27752,compare - yourself,,477,24h,enjoy_the_moment,29,IND,f,married,y
51,27752,gain - sense,,477,24h,enjoy_the_moment,29,IND,f,married,y
52,27754,gave - visit,,215,24h,affection,26,IND,m,married,n
53,27755,celebrated - anniversary,,2416,24h,affection,26,FIN,f,single,n
54,27756,booked - vacation,,8589,24h,leisure,31,USA,f,married,n
55,27757,got - tickets,I,237,24h,enjoy_the_moment,27,IND,m,married,n
56,27757,get - goosebumps,I,237,24h,enjoy_the_moment,27,IND,m,married,n
57,27759,WON - SERIES,,648,24h,enjoy_the_moment,24,IND,m,married,n
58,27759,WON - AUSTRALIA,,648,24h,enjoy_the_moment,24,IND,m,married,n
59,27762,born - baby,I,15,24h,affection,27,USA,m,married,y
60,27763,got - phone,I,1300,24h,achievement,27,USA,m,married,y
61,27765,got - visa,I,449,24h,achievement,28.0,AUS,m,married,y
62,27767,do - suryanamaskars,I,2628,24h,achievement,25,IND,f,single,n
63,27768,have - impact,,1028,24h,enjoy_the_moment,26,IND,f,married,y
64,27771,found - poet,I,5046,24h,enjoy_the_moment,44,USA,f,married,y
65,27772,was - traffic,,5116,24h,enjoy_the_moment,25,USA,m,single,n
66,27774,filled - me,,1517,24h,bonding,22,USA,m,single,n
67,27777,got - degree,I,3704,24h,achievement,22,VEN,f,single,n
68,27779,read - book,,9896,24h,leisure,32,USA,m,single,n
69,27780,won - match,I,932,24h,achievement,21,IND,m,single,n
70,27783,Taking - shower,,1094,24h,enjoy_the_moment,23,LTU,m,single,n
71,27785,saw - rainbow,I,1057,24h,nature,27,IND,m,married,y
72,27786,Saw - Dad,I,11573,24h,affection,24,IND,m,single,n
73,27787,had - time,I,13,24h,affection,45.0,IND,m,married,y
74,27790,made - progress,I,72,24h,achievement,25,BGR,m,single,y
75,27794,apply - ointment,,3009,24h,affection,45,IND,f,married,y
76,27797,leave - leaves,I,2032,24h,enjoy_the_moment,28,USA,m,single,y
77,27800,Read - part,I,455,24h,affection,29.0,IND,m,married,y
78,27800,accept - money,I,455,24h,affection,29.0,IND,m,married,y
79,27800,see - windows,I,455,24h,affection,29.0,IND,m,married,y
80,27800,have - idea,I,455,24h,affection,29.0,IND,m,married,y
81,27800,shakes - head,I,455,24h,affection,29.0,IND,m,married,y
82,27800,have - kid,I,455,24h,affection,29.0,IND,m,married,y
83,27800,end - time,I,455,24h,affection,29.0,IND,m,married,y
84,27800,tell - driver,I,455,24h,affection,29.0,IND,m,married,y
85,27800,takes - me,I,455,24h,affection,29.0,IND,m,married,y
86,27800,spend - touring,I,455,24h,affection,29.0,IND,m,married,y
87,27800,say - a,I,455,24h,affection,29.0,IND,m,married,y
88,27800,like - other,I,455,24h,affection,29.0,IND,m,married,y
89,27800,share - moment,I,455,24h,affection,29.0,IND,m,married,y
90,27800,tell - sheas,I,455,24h,affection,29.0,IND,m,married,y
91,27800,glances - one,I,455,24h,affection,29.0,IND,m,married,y
92,27801,bought - bicycle,,435,24h,affection,27,IND,m,single,n
93,27802,cracked - interview,I,1719,24h,achievement,22,IND,m,single,y
94,27803,flew - one,I,6667,24h,achievement,66,USA,m,married,n
95,27803,have - crash,I,6667,24h,achievement,66,USA,m,married,n
96,27808,gave - hug,,3433,24h,affection,35,BEL,m,single,n
97,27810,got - license,I,1764,24h,achievement,33,IND,f,married,y
98,27810,waiting - license,I,1764,24h,achievement,33,IND,f,married,y
99,27811,completed - flashcards,I,376,24h,achievement,23,CAN,f,single,n
100,27815,solved - issue,,1189,24h,achievement,33.0,IND,f,married,y
101,27817,had - talk,I,12580,24h,affection,64,USA,f,divorced,y
102,27817,had - fro,I,12580,24h,affection,64,USA,f,divorced,y
103,27817,have - conversations,I,12580,24h,affection,64,USA,f,divorced,y
104,27819,had - days,I,496,24h,nature,49,USA,m,single,n
105,27820,gave - everything,I,802,24h,achievement,40,IND,m,married,y
106,27821,got - bonus,I,1983,24h,achievement,39,USA,m,married,y
107,27821,buy - something,I,1983,24h,achievement,39,USA,m,married,y
108,27822,says - me,I,924,24h,affection,25,IND,f,married,y
109,27823,catch - disappearing,I,4002,24h,exercise,37,IND,m,married,y
110,27824,left - key,I,146,24h,affection,25,IND,m,single,n
111,27826,saw - girl,I,38,24h,affection,26,GBR,m,single,y
112,27829,met - friends,I,1063,24h,bonding,25,IND,f,married,n
113,27829,had - time,I,1063,24h,bonding,25,IND,f,married,n
114,27829,had - time,I,1063,24h,bonding,25,IND,f,married,n
115,27830,took - time,I,6724,24h,affection,55,USA,m,single,n
116,27831,told - me,,2356,24h,affection,62,USA,f,married,n
117,27833,had - day,I,3678,24h,enjoy_the_moment,25,USA,f,married,n
118,27835,ate - M&Ms,I,786,24h,enjoy_the_moment,30,USA,f,single,n
119,27836,TRAINED - CHILD,I,81,24h,bonding,30,IND,m,single,y
120,27836,ENJOYED - LOT,I,81,24h,bonding,30,IND,m,single,y
121,27840,got - pet,I,62,24h,affection,3,IND,m,single,n
122,27841,had - relations,I,9386,24h,affection,45,USA,f,widowed,y
123,27844,brought - mobile,,50,24h,achievement,30,IND,m,single,y
124,27846,went - power,I,11620,24h,leisure,65,USA,f,single,y
125,27853,playing - band,I,5050,24h,affection,21,USA,m,married,n
126,27854,celebrating - anniversary,,1,24h,affection,37.0,USA,m,married,y
127,27858,loved - it,,1232,24h,achievement,35,IND,m,married,y
128,27861,took - dog,I,4545,24h,affection,32,USA,f,married,y
129,27865,told - me,,8938,24h,affection,34,USA,m,married,y
130,27870,cooked - recipe,I,7542,24h,achievement,61,USA,f,married,y
131,27871,Spending - time,,768,24h,affection,53,USA,f,married,y
132,27873,played - game,I,2053,24h,leisure,35,USA,m,single,n
133,27875,passed - physical,I,1936,24h,affection,30,USA,f,married,y
134,27877,had - lunch,,6227,24h,affection,55,USA,f,divorced,y
135,27880,met - friend,I,740,24h,bonding,23,IND,m,single,n
136,27882,kissing - me,,4833,24h,affection,41,USA,f,married,y
137,27883,surprised - me,,7334,24h,affection,37,USA,m,single,y
138,27889,cooked - food,I,976,24h,affection,25,KWT,f,married,y
139,27889,liked - it,I,976,24h,affection,25,KWT,f,married,y
140,27890,Had - dinner,,3972,24h,affection,28,USA,m,single,n
141,27892,tricked - dog,,1230,24h,affection,32.0,USA,f,single,n
142,27894,seen - words,I,4862,24h,affection,42,IND,m,married,y
143,27897,completed - project,I,498,24h,achievement,27,IND,m,married,y
144,27898,got - interview,,2124,24h,achievement,22,USA,m,single,n
145,27899,offered - money,I,156,24h,affection,47.0,USA,f,married,n
146,27902,decorated - room,I,54,24h,affection,29,IND,f,married,y
147,27903,cooked - breakfast,I,794,24h,affection,37,USA,m,single,n
148,27907,Taking - dog,,402,24h,affection,26,USA,m,married,n
149,27908,'s - entertainers,I,2957,24h,affection,34,USA,m,married,y
150,27909,gave - hug,I,261,24h,affection,25,IND,f,married,y
151,27910,got - interview,,516,24h,affection,29,USA,m,single,y
152,27911,stimulating - discussions,,1215,24h,bonding,26,IND,m,married,y
153,27914,celebrated - anniversary,I,4,24h,affection,32,USA,m,married,y
154,27915,met - goal,,2272,24h,achievement,27,USA,m,single,n
155,27917,wear - saree,,466,24h,affection,32,IND,m,married,y
156,27919,purchased - product,I,36,24h,achievement,37,USA,m,single,n
157,27920,got - promotion,I,2019,24h,achievement,25,USA,m,married,y
158,27922,played - tennis,I,373,24h,bonding,26,USA,f,single,n
159,27923,visited - me,,389,24h,affection,61,USA,f,married,y
160,27924,told - me,,10576,24h,achievement,31,PHL,m,married,n
161,27925,PLANTED - PLANT,I,2129,24h,nature,34,IND,f,married,y
162,27925,PLANTED - FLOURISHED.IT,I,2129,24h,nature,34,IND,f,married,y
163,27926,had - lunch,I,383,24h,enjoy_the_moment,66,USA,m,married,y
164,27927,managed - it,I,553,24h,achievement,32,IND,m,married,y
165,27928,had - chicken,I,311,24h,enjoy_the_moment,27,USA,m,single,n
166,27929,cleaned - tiles,I,104,24h,achievement,25.0,GBR,m,married,n
167,27930,brought - system,I,3284,24h,achievement,25,USA,m,single,n
168,27931,made - dinner,I,2776,24h,affection,26,USA,f,single,n
169,27932,measured - weight,I,25,24h,achievement,32.0,IND,m,married,y
170,27933,crossing - road,,257,24h,affection,27,IND,f,single,n
171,27933,crossing - man,,257,24h,affection,27,IND,f,single,n
172,27934,received - call,I,13224,24h,achievement,25,IND,m,single,n
173,27935,doubled - goal,I,1377,24h,achievement,36,USA,m,single,n
174,27936,smoked - bowl,I,5652,24h,leisure,18,USA,m,single,n
175,27941,found - tool,I,3797,24h,achievement,56,USA,m,divorced,y
176,27942,said - Duck,,9885,24h,affection,33,USA,f,married,y
177,27946,completed - time,,1625,24h,achievement,25,IND,m,single,n
178,27947,received - funding,I,1782,24h,achievement,33,USA,m,single,n
179,27948,play - game,I,330,24h,achievement,51,USA,m,divorced,y
180,27950,Had - conversation,,35,24h,affection,26,IND,m,single,n
181,27954,had - evening,I,215,24h,affection,26,IND,m,married,n
182,27955,ate - food,I,2416,24h,enjoy_the_moment,26,FIN,f,single,n
183,27956,paid - bills,I,8589,24h,achievement,31,USA,f,married,n
184,27957,convinced - parents,,237,24h,achievement,27,IND,m,married,n
185,27957,bought - one,,237,24h,achievement,27,IND,m,married,n
186,27958,make - food,,69,24h,affection,23,USA,m,married,y
187,27959,GIFTED - ME,,648,24h,bonding,24,IND,m,married,n
188,27959,GIFTED - RING,,648,24h,bonding,24,IND,m,married,n
189,27960,took - shower,I,1833,24h,affection,62,USA,m,married,y
190,27963,took - walk,I,1300,24h,affection,27,USA,m,married,y
191,27964,went - movie,,102,24h,leisure,27,IND,f,married,y
192,27968,became - friends,I,1028,24h,affection,26,IND,f,married,y
193,27968,ordered - pizza,I,1028,24h,affection,26,IND,f,married,y
194,27969,enjoyed - it,I,76,24h,bonding,29,IND,m,married,y
195,27970,got - gift,I,689,24h,affection,23.0,IND,f,single,n
196,27971,purchased - things,I,5046,24h,affection,44,USA,f,married,y
197,27972,greeted - me,I,5116,24h,affection,25,USA,m,single,n
198,27973,met - friend,I,1199,24h,bonding,26,IND,f,married,y
199,27975,ride - bike,I,251,24h,achievement,22,USA,m,single,n
200,27976,cleaned - kitchen,I,681,24h,achievement,29,USA,f,married,y
201,27977,Find - job,,3704,24h,achievement,22,VEN,f,single,n
202,27978,ordered - product,I,738,24h,enjoy_the_moment,32,IND,m,married,y
203,27980,won - game,I,932,24h,achievement,21,IND,m,single,n
204,27983,Reading - books,,1094,24h,leisure,23,LTU,m,single,n
205,27984,enjoyed - weather,I,4148,24h,nature,22,AUS,m,single,n
206,27985,completed - target,I,1057,24h,achievement,27,IND,m,married,y
207,27986,eat - candy,I,11573,24h,enjoy_the_moment,24,IND,m,single,n
208,27986,reminds - me,I,11573,24h,enjoy_the_moment,24,IND,m,single,n
209,27987,got - amount,I,13,24h,achievement,45.0,IND,m,married,y
210,27989,got - messages,I,24,24h,bonding,35,IND,f,single,n
211,27989,got - wishes,I,24,24h,bonding,35,IND,f,single,n
212,27991,shared - pleasures,,2029,24h,affection,55,USA,m,married,n
213,27992,Watching - field,,120,24h,affection,25,BGD,m,single,n
214,27993,helped - couple,,266,24h,enjoy_the_moment,32,IND,f,married,y
215,27994,received - letter,I,3009,24h,achievement,45,IND,f,married,y
216,27995,Spending - time,,479,24h,affection,27,USA,f,single,n
217,27996,get - event,,905,24h,achievement,24,IDN,m,single,n
218,27997,worked - back,I,2032,24h,achievement,28,USA,m,single,y
219,27999,got - offer,I,341,24h,achievement,29,IND,f,married,y
220,28000,enjoy - serenity,,455,24h,nature,29.0,IND,m,married,y
221,28000,finish - work,,455,24h,nature,29.0,IND,m,married,y
222,28000,creates - feeling,,455,24h,nature,29.0,IND,m,married,y
223,28000,helps - poet,,455,24h,nature,29.0,IND,m,married,y
224,28001,celebrated - birthday,I,435,24h,bonding,27,IND,m,single,n
225,28002,Got - respect,,1719,24h,bonding,22,IND,m,single,y
226,28004,given - update,I,4714,24h,enjoy_the_moment,46,IND,m,married,y
227,28005,found - community,I,3895,24h,achievement,46,USA,f,married,y
228,28007,bought - sweet,,600,24h,affection,41.0,IND,f,married,y
229,28008,got - license,I,3433,24h,achievement,35,BEL,m,single,n
230,28009,had - rehearsal,,2894,24h,enjoy_the_moment,46,USA,f,single,n
231,28010,booked - ticket,I,1764,24h,affection,33,IND,f,married,y
232,28010,expect - this,I,1764,24h,affection,33,IND,f,married,y
233,28011,made - pudding,I,376,24h,enjoy_the_moment,23,CAN,f,single,n
234,28016,watched - series,I,4706,24h,leisure,33,USA,m,single,n
235,28018,got - offer,I,229,24h,bonding,35,USA,f,single,n
236,28020,met - friend,I,802,24h,bonding,40,IND,m,married,y
237,28020,met - him,I,802,24h,bonding,40,IND,m,married,y
238,28020,remembered - days,I,802,24h,bonding,40,IND,m,married,y
239,28023,done - job,I,4002,24h,achievement,37,IND,m,married,y
240,28024,wrote - assignments,I,146,24h,achievement,25,IND,m,single,n
241,28025,Got - Plus,,220,24h,achievement,22.0,USA,m,single,n
242,28026,won - medal,I,38,24h,achievement,26,GBR,m,single,y
243,28028,thrown - party,,51,24h,bonding,30,IND,m,single,n
244,28029,had - time,I,1063,24h,bonding,25,IND,f,married,n
245,28030,finished - crossword,I,6724,24h,achievement,55,USA,m,single,n
246,28031,called - me,,2356,24h,bonding,62,USA,f,married,n
247,28032,contacted - me,I,12002,24h,achievement,52,USA,m,single,n
248,28034,have - dinner,,1836,24h,affection,31,IND,m,married,y
249,28037,got - gift,I,699,24h,affection,21,IND,m,single,n
250,28040,make - breakfast,,62,24h,affection,3,IND,m,single,n
251,28041,felt - move,I,9386,24h,affection,45,USA,f,widowed,y
252,28042,got - comment,I,18,24h,achievement,30,USA,m,single,n
253,28044,received - message,,50,24h,achievement,30,IND,m,single,y
254,28049,Eating - lunch,,1115,24h,affection,38,USA,f,married,y
255,28051,brought - dresses,,158,24h,affection,30,IND,m,single,n
256,28053,got - sleep,I,5050,24h,leisure,21,USA,m,married,n
257,28056,cooked - meal,,26,24h,affection,31.0,IND,f,married,y
258,28058,loved - it,,1232,24h,achievement,35,IND,m,married,y
259,28059,Playing - cricket,,570,24h,bonding,19.0,IND,m,single,n
260,28060,found - bag,I,746,24h,achievement,25.0,USA,m,single,n
261,28063,won - bet,I,847,24h,achievement,23,USA,m,single,n
262,28064,provided - lunch,,2394,24h,enjoy_the_moment,30,USA,m,single,n
263,28065,ran - duration,I,8938,24h,achievement,34,USA,m,married,y
264,28066,made - chappati,I,2030,24h,achievement,31,USA,f,married,n
265,28067,made - meatballs,I,103,24h,affection,26,USA,f,single,y
266,28069,made - meal,I,1672,24h,leisure,29,USA,m,single,n
267,28070,passed - evaluation,I,7542,24h,achievement,61,USA,f,married,y
268,28071,had - service,I,768,24h,bonding,53,USA,f,married,y
269,28072,asked - me,I,1045,24h,bonding,34,USA,m,married,y
270,28076,brought - them,,206,24h,affection,28,DNK,f,married,n
271,28077,made - plans,I,6227,24h,affection,55,USA,f,divorced,y
272,28078,ate - dinner,I,45,24h,enjoy_the_moment,23,IND,m,single,n
273,28080,prepared - biriyani,,740,24h,bonding,23,IND,m,single,n
274,28082,kissing - me,,4833,24h,affection,41,USA,f,married,y
275,28082,kissing - hello,,4833,24h,affection,41,USA,f,married,y
276,28083,played - tug,I,7334,24h,affection,37,USA,m,single,y
277,28084,shared - breakfast,I,78,24h,affection,28,USA,f,married,y
278,28085,got - bonuses,,21,24h,achievement,29.0,IND,m,single,y
279,28086,got - email,I,8,24h,bonding,29,VNM,m,single,n
280,28087,take - while,,586,24h,enjoy_the_moment,28,IND,f,single,y
281,28089,brought - gifts,I,976,24h,affection,25,KWT,f,married,y
282,28090,Watched - episode,I,3972,24h,leisure,28,USA,m,single,n
283,28093,bought - wallet,I,9950,24h,achievement,38,USA,f,single,n
284,28095,got - A,I,4891,24h,achievement,25,USA,m,single,n
285,28096,studied - happiness,,737,24h,enjoy_the_moment,25,IND,f,single,y
286,28097,become - leader,I,498,24h,achievement,27,IND,m,married,y
287,28098,gt - A,,2124,24h,achievement,22,USA,m,single,n
288,28100,got - underwear,I,1783,24h,achievement,26,USA,m,single,n
289,28101,called - me,,3382,24h,bonding,79,USA,f,widowed,y
290,28103,beat - boss,I,794,24h,achievement,37,USA,m,single,n
291,28104,was - traffic,I,1510,24h,enjoy_the_moment,38,USA,m,single,n
292,28108,say - anything,I,2957,24h,enjoy_the_moment,34,USA,m,married,y
293,28109,stimulating - discussions,,261,24h,bonding,25,IND,f,married,y
294,28111,gave - hug,I,1215,24h,affection,26,IND,m,married,y
295,28112,lift - head,,848,24h,affection,30,USA,f,married,y
296,28113,did - it,I,396,24h,affection,34,IND,f,married,y
297,28115,completed - work,,2272,24h,achievement,27,USA,m,single,n
298,28117,stimulating - discussions,,466,24h,bonding,32,IND,m,married,y
299,28118,received - message,I,1566,24h,achievement,48,USA,m,divorced,y
300,28119,found - something,I,36,24h,achievement,37,USA,m,single,n
301,28120,bought - phone,I,2019,24h,achievement,25,USA,m,married,y
302,28122,finished - work,I,373,24h,achievement,26,USA,f,single,n
303,28125,GOT - GIFT,I,2129,24h,affection,34,IND,f,married,y
304,28127,made - tea,I,553,24h,affection,32,IND,m,married,y
305,28127,liked - it,I,553,24h,affection,32,IND,m,married,y
306,28128,found - deal,I,311,24h,achievement,27,USA,m,single,n
307,28131,picked - cat,I,2776,24h,affection,26,USA,f,single,n
308,28132,bought - shirt,I,25,24h,achievement,32.0,IND,m,married,y
309,28138,gave - hug,,612,24h,affection,28,IND,m,married,y
310,28140,won - match,,2794,24h,achievement,41,IND,m,separated,n
311,28141,had - dinner,I,3797,24h,achievement,56,USA,m,divorced,y
312,28142,took - us,I,9885,24h,affection,33,USA,f,married,y
313,28144,employed - experts,,491,24h,achievement,30.0,IND,f,married,y
314,28144,had - foresight,,491,24h,achievement,30.0,IND,f,married,y
315,28146,replaced - television,,1625,24h,achievement,25,IND,m,single,n
316,28149,played - guitar,I,589,24h,leisure,30.0,USA,m,single,n
317,28152,Make - home,,477,24h,enjoy_the_moment,29,IND,f,married,y
318,28152,Make - gallery,,477,24h,enjoy_the_moment,29,IND,f,married,y
319,28153,had - lunch,I,37,24h,bonding,23,USA,m,single,n
320,28154,watched - movie,I,215,24h,affection,26,IND,m,married,n
321,28155,got - interview,I,2416,24h,achievement,26,FIN,f,single,n
322,28156,spent - time,I,8589,24h,affection,31,USA,f,married,n
323,28157,amazed - me,I,237,24h,bonding,27,IND,m,married,n
324,28157,gave - hacks,I,237,24h,bonding,27,IND,m,married,n
325,28158,claim - money,,69,24h,achievement,23,USA,m,married,y
326,28160,made - love,I,1833,24h,affection,62,USA,m,married,y
327,28162,gives - gift,,15,24h,affection,27,USA,m,married,y
328,28163,saw - dig,I,1300,24h,achievement,27,USA,m,married,y
329,28166,increased - points,I,555,24h,achievement,30,IND,m,married,y
330,28167,Gave - peace,I,2628,24h,enjoy_the_moment,25,IND,f,single,n
331,28168,failed - class,I,1028,24h,affection,26,IND,f,married,y
332,28170,got - amount,I,689,24h,bonding,23.0,IND,f,single,n
333,28171,sang - song,,5046,24h,affection,44,USA,f,married,y
334,28172,called - me,I,5116,24h,affection,25,USA,m,single,n
335,28173,got - offer,I,1199,24h,achievement,26,IND,f,married,y
336,28174,completed - goal,I,1517,24h,achievement,22,USA,m,single,n
337,28175,ate - item,,251,24h,enjoy_the_moment,22,USA,m,single,n
338,28176,made - breakfast,,681,24h,affection,29,USA,f,married,y
339,28178,running - business,I,738,24h,enjoy_the_moment,32,IND,m,married,y
340,28180,had - dinner,I,932,24h,affection,21,IND,m,single,n
341,28183,got - seats,I,1094,24h,leisure,23,LTU,m,single,n
342,28184,met - friends,,4148,24h,bonding,22,AUS,m,single,n
343,28185,play - game,I,1057,24h,leisure,27,IND,m,married,y
344,28186,make - contact,I,11573,24h,affection,24,IND,m,single,n
345,28186,Memorize - Eyes,I,11573,24h,affection,24,IND,m,single,n
346,28187,love - weather,I,13,24h,nature,45.0,IND,m,married,y
347,28188,took - mom,I,2349,24h,affection,21,USA,f,single,n
348,28189,got - car,,24,24h,affection,35,IND,f,single,n
349,28191,do - it,I,2029,24h,achievement,55,USA,m,married,n
350,28195,Having - nap,,479,24h,leisure,27,USA,f,single,n
351,28197,drank - glasses,I,2032,24h,achievement,28,USA,m,single,y
352,28198,finished - paper,I,820,24h,achievement,24,USA,m,single,n
353,28199,made - cake,I,341,24h,enjoy_the_moment,29,IND,f,married,y
354,28200,enjoys - sights,,455,24h,nature,29.0,IND,m,married,y
355,28200,soothes - soul,,455,24h,nature,29.0,IND,m,married,y
356,28200,keeps - fit,,455,24h,nature,29.0,IND,m,married,y
357,28200,have - time,,455,24h,nature,29.0,IND,m,married,y
358,28203,took - refractor,I,6667,24h,achievement,66,USA,m,married,n
359,28203,took - telescope,I,6667,24h,achievement,66,USA,m,married,n
360,28205,told - me,I,3895,24h,affection,46,USA,f,married,y
361,28209,had - conversation,I,2894,24h,bonding,46,USA,f,single,n
362,28210,got - friends,I,1764,24h,bonding,33,IND,f,married,y
363,28210,enjoyed - lot,I,1764,24h,bonding,33,IND,f,married,y
364,28211,enjoyed - space,I,376,24h,enjoy_the_moment,23,CAN,f,single,n
365,28212,had - practice,,213,24h,achievement,30,USA,f,married,y
366,28213,bought - dress,I,5925,24h,achievement,33,USA,f,married,y
367,28215,blessed - me,,1189,24h,affection,33.0,IND,f,married,y
368,28219,informed - me,I,496,24h,enjoy_the_moment,49,USA,m,single,n
369,28220,said - nothing,I,802,24h,affection,40,IND,m,married,y
370,28220,take - her,I,802,24h,affection,40,IND,m,married,y
371,28222,Had - walk,,924,24h,bonding,25,IND,f,married,y
372,28224,got - cash,I,146,24h,achievement,25,IND,m,single,n
373,28225,Seeing - friend,I,220,24h,bonding,22.0,USA,m,single,n
374,28229,ate - dishes,I,1063,24h,bonding,25,IND,f,married,n
375,28230,spent - time,I,6724,24h,leisure,55,USA,m,single,n
376,28231,cooked - dinner,I,2356,24h,achievement,62,USA,f,married,n
377,28232,called - sister,I,12002,24h,affection,52,USA,m,single,n
378,28234,enjoyed - end,,1836,24h,affection,31,IND,m,married,y
379,28236,JOINED - GIM,I,81,24h,achievement,30,IND,m,single,y
380,28241,satisfied - cravings,I,9386,24h,enjoy_the_moment,45,USA,f,widowed,y
381,28243,got - tickets,I,60,24h,leisure,29,USA,m,single,n
382,28245,enjoyed - weather,I,179,24h,nature,22,USA,m,single,y
383,28246,watched - Motel,I,11620,24h,leisure,65,USA,f,single,y
384,28247,took - me,,1773,24h,affection,65,USA,f,widowed,y
385,28249,Watching - episode,,1115,24h,leisure,38,USA,f,married,y
386,28250,made - meal,I,3400,24h,enjoy_the_moment,39,USA,f,married,n
387,28251,received - amount,,158,24h,achievement,30,IND,m,single,n
388,28254,took - day,,1,24h,affection,37.0,USA,m,married,y
389,28257,smoked - chicken,I,2333,24h,achievement,36,USA,m,single,y
390,28258,loved - it,,1232,24h,achievement,35,IND,m,married,y
391,28260,gave - pastries,,746,24h,enjoy_the_moment,25.0,USA,m,single,n
392,28262,watched - Sunny,,1844,24h,enjoy_the_moment,29,USA,f,married,y
393,28263,accomplished - errands,I,847,24h,achievement,23,USA,m,single,n
394,28264,started - project,I,2394,24h,achievement,30,USA,m,single,n
395,28265,spent - time,I,8938,24h,bonding,34,USA,m,married,y
396,28266,cuddled - me,,2030,24h,affection,31,USA,f,married,n
397,28270,got - call,I,7542,24h,affection,61,USA,f,married,y
398,28271,give - goodnight,I,768,24h,affection,53,USA,f,married,y
399,28275,had - meal,I,16,24h,affection,35.0,USA,m,single,n
400,28276,Enjoying - yogurt,,2836,24h,enjoy_the_moment,25,USA,m,single,n
401,28277,completed - goal,I,3505,24h,exercise,32.0,USA,m,married,n
402,28281,invited - me,,830,24h,bonding,26.0,USA,m,single,n
403,28286,spending - time,,197,24h,affection,24,USA,m,single,n
404,28289,Snuggling - dog,,3212,24h,affection,34.0,USA,f,married,y
405,28292,told - me,I,9964,24h,achievement,36.0,USA,f,married,y
406,28293,received - gift,I,9264,24h,bonding,22.0,USA,m,single,n
407,28296,had - chance,I,3965,24h,bonding,46,USA,m,divorced,y
408,28297,getting - lunch,,2692,24h,enjoy_the_moment,22,USA,f,single,n
409,28299,gave - compliments,,121,24h,bonding,57,USA,f,divorced,y
